CommonName,Family,Genus,Species,MumbyColumn ID,ColumnID,Best model,allgeier_FFG,Valdivia_FFG,tp,Valdivia_TP
purplemouth moray,Muraenidae,Gymnothorax,vicinus,MuraenidaeGymnothoraxvicinus,MuraenidaeGymnothoraxsp,genus,Top Predators,Apex predator,4.5,4.01
queen angelfish,Pomacanthidae,Holacanthus,ciliaris,PomacanthidaeHolacanthusciliaris,PomacanthidaeHolacanthussp,genus,omnivore,Macroinvertivore,3,3.25
queen parrotfish,Scaridae,Scarus,vetula,ScaridaeScarusvetula,ScaridaeScarussp,genus,Herbivores,Herbivore,2,2
queen triggerfish,Balistidae,Balistes,vetula,BalistidaeBalistesvetula,BalistidaeBalistessp,genus,Macroinvertivore,Macroinvertivore,3.4,3.4
rainbow parrotfish,Scaridae,Scarus,guacamaia,ScaridaeScarusguacamaia,ScaridaeScarussp,genus,Herbivores,Herbivore,2,2
rainbow wrasse,Labridae,Halichoeres,pictus,LabridaeHalichoerespictus,LabridaeHalichoeressp,genus,Microinvertivore,Macroinvertivore,3.5,3.5
red hind,Serranidae,Epinephelus,guttatus,SerranidaeEpinephelusguttatus,SerranidaeEpinephelussp,genus,Piscivore-Invertivore,Piscivore Invertivore,4.2,3.51
redband parrot,Scaridae,Sparisoma,aurofrenatum,ScaridaeSparisomaaurofrenatum,ScaridaeSparisomasp,genus,Herbivores,Herbivore,2,2
redband parrotfish,Scaridae,Sparisoma,aurofrenatum,ScaridaeSparisomaaurofrenatum,ScaridaeSparisomasp,genus,Herbivores,Herbivore,2,2
redtail parrot,Scaridae,Sparisoma,chrysopterum,ScaridaeSparisomachrysopterum,ScaridaeSparisomachrysopterum,species,Herbivores,Herbivore,2,2
redtail parrotfish,Scaridae,Sparisoma,chrysopterum,ScaridaeSparisomachrysopterum,ScaridaeSparisomachrysopterum,species,Herbivores,Herbivore,2,2
reef butterflyfish,Chaetodontidae,Chaetodon,sedentarius,ChaetodontidaeChaetodonsedentarius,ChaetodontidaeChaetodonsp,genus,Microinvertivore,Microinvertivore,3.2,3.16
reef squirrel,Holocentridae,Sargocentron,coruscum,HolocentridaeSargocentroncoruscum,Holocentridaespsp,family,Macroinvertivore,Macroinvertivore,3.6,3.61
reef squirrelfish,Holocentridae,Sargocentron,coruscum,HolocentridaeSargocentroncoruscum,Holocentridaespsp,family,Macroinvertivore,Macroinvertivore,3.6,3.61
rf,Scaridae,Sparisoma,rubripinne,ScaridaeSparisomarubripinne,ScaridaeSparisomasp,genus,Herbivores,Herbivore,2,2
rock beauty,Pomacanthidae,Holacanthus,tricolor,PomacanthidaeHolacanthustricolor,PomacanthidaeHolacanthussp,genus,omnivore,Macroinvertivore,3,3.25
rock hind,Serranidae,Epinephelus,adscensionis,SerranidaeEpinephelusadscensionis,SerranidaeEpinephelussp,genus,Piscivore-Invertivore,Piscivore Invertivore,4.2,3.51
rosy razorfish,Labridae,Xyrichtys,martinicensis,LabridaeXyrichtysmartinicensis,Labridaespsp,family,Macroinvertivore,Macroinvertivore,3.4,3.38
sailors choice,Haemulidae,Haemulon,parra,HaemulidaeHaemulonparra,HaemulidaeHaemulonparra,species,Macroinvertivore,Piscivore Invertivore,3.5,3.47
scad,Carangidae,Decapterus,sp.,CarangidaeDecapterussp.,Carangidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.81
schoolmaster,Lutjanidae,Lutjanus,apodus,LutjanidaeLutjanusapodus,LutjanidaeLutjanusapodus,species,Piscivore-Invertivore,Piscivore Invertivore,4.4,4.17
schoolmaster snapper,Lutjanidae,Lutjanus,apodus,LutjanidaeLutjanusapodus,LutjanidaeLutjanusapodus,species,Piscivore-Invertivore,Piscivore Invertivore,4.4,4.17
scorpionfish,Scorpaenidae,Pterois,volitans,,ScorpaenidaePteroisvolitans,species,Piscivore-Invertivore,Piscivore Invertivore,4.4,4.45
scrawled filefish,Monacanthidae,Aluterus,scriptus,MonacanthidaeAluterusscriptus,Tetraodontiformesspsp,order,Microinvertivore,Omnivore,2.6,3.15
sergeant major,Pomacentridae,Abudefduf,saxatilis,PomacentridaeAbudefdufsaxatilis,PomacentridaeAbudefdufsp,genus,omnivore,Small Omnivore,3.4,3.41
sharpnose puffer,Tetraodontidae,Canthigaster,rostrata,TetraodontidaeCanthigasterrostrata,TetraodontidaeCanthigasterrostrata,species,omnivore,Omnivore,3,3
shy hamlet,Serranidae,Hypoplectrus,guttavarius,SerranidaeHypoplectrusguttavarius,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
